Deity,Temple Name,Moolavar,Urchavar,Amman / Thayar,Thala Virutcham,Theertham,Agamam / Pooja,Old year,Historical Name,City,District,State,Festival,  Temple's Speciality,Opening Time,Address,Phone Number
Murugan,sri Swaminathaswami temple,"Swaminathar, Subbiah",NA,"Valli, Deivanai",Gooseberry,"Vajra theertham, Kumaradarai, SaravanaTheertham, Nethra Kulam, Brahmma Theertham",NA,1000 2000 years old,Thiruveragam,Swamimalai,Thanjavur,Tamil Nadu,"10 day Tirukarthikai festival in November December is the important festival of the temple drawing crowd in lakhs. 10 day Chithirai Brahammotsavam in April May, Vaikasi Visagam in May June, Aavani Pavithrotsavam in August September, 10 day Navarathri in September October, Aipasi Skanda Sashti in October November, 10 day Margazhi Tiruvadirai in December January, Thai Poosam in January February, Panguni Valli Kalyanam in March April are the other festivals celebrated in the temple. Of these, the festivals falling in Chithirai, Karthikai and Thai Tamil months are inaugurated with flag hoisting. Thirupadi festival for the steps is celebrated on the English New Year day. Also, monthly Kruthika star days, Monthly Tamil new days, New moon and full moon days, Sashti days, Visakam star days, Tamil and English New Year days, Deepavali and Pongal are devotionally celebrated in the temple. The crowd in the temple is huge on Tuesdays and all festival days.","Lord Muruga graces devotees in His best attire. He looks with a ripe, wise and philosophical look during the Vibuthi (sacred ash) abishek, a majestic Balasubramania in Sandal abishek. If one closely observes the sanctum sanctorum, the peeta – stage  on which the Lord stands looks like the Shivlinga Avudayar and the Lord as Shivalinga itself. This represents the philosophy that Lord Shiva and Lord Muruga are but one and not different from each other. In the place of the traditional peacock before the Lord, there is elephant here, which was gifted by Indira after the destruction of demon Harikesa, according to scriptures.",The temple is open from 5.00 a.m. to 11.00 a.m. and from 4.00 p.m. to 8.00 p.m.,"Sri Swaminathaswami Temple, Swamimalai, Thanjavur district.",+91  435  245 4421
Other Temples,sri Manickavasagar temple,Manickavasagar,NA,NA,NA,NA,NA,500 years old,NA,Chinnamanur,Theni,Tamil Nadu,Devotees pray here to have wise children and cure from stammering problems.,"Sri Chandikeswara, generally in sitting posture in Shiva temples, is standing here worshipping Lord. Chitra Gupta with his palm leaf and writing rod – Ezhuthani in Tamil (writing materials like paper and pen now a days) before Lord Shiva’s shrine in meditation mood. People perform birth day pujas and 60th year birthday Homas in this shrine. Planet Saturn – Sani Bhagwan appears with a parrot in the Navagraha shrine. There is also a Sani Bhagwan in the temple with threatening long teeth called Gora Saneeswara.",The temple is open from 7.00 a.m. to 10 a.m. and from 5.00 p.m. to 8.00 p.m.,"Sri Manickavasagar temple, Chinnamanur, Theni:",+91  90958 38384
Perumal,sri Kodandaramar temple,Kodandaramar,NA,Sita,NA,Rama theertham,NA,1000 2000 years old,NA,Vaduvur,Tiruvarur,Tamil Nadu,10 day Panguni Brahmmotsavam in March April following Sri Rama Navami is celebrated in the temple.,The place is respected by devotees as Dakshina Ayodhya – Ayodhya of South.,The temple is open from 6.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Kodandaramar Temple, Mudikondon – 609 502, Tiruvarur district.",+91  4367   267 110.
Murugan,sri Subramanyaswami temple,Subramanyaswami,NA,Valli and Devasena,Vanni,Shakthi theertham,NA,500 1000 years old,Aadhivayalur,Kumaravayalur,Thiruchirapalli,Tamil Nadu,"12 days Vaikasi Visakam in May June drawing a huge crowd of devotees exceeding 10,000; 7 days Skanda Sashti in Aipasi September October; 4 day Panguni Uthiram (March April); 3 day Thaipoosam in January February are the very great festivals celebrated in the temple.",Lord Muruga created a tank here with His weapon Vel to worship His parents. Lord Nataraja appears here as Soorathandavamurthy.,The temple is opened from 6.00 a.m. to 01.00 p.m. and 03.30 p.m. to 09.00 p.m.,"Sri Subramanyaswami Temple, Vayalur  620 102, Trichy Dist.","+91 431 2607 344, 98949 84960."
Amman,sri Mariamman temple,Mariamman,NA,NA,Neem tree,NA,NA,1000 2000 years old,kannapuram,Samayapuram,Thiruchirapalli,Tamil Nadu,"Chithirai Car festival on the first Tuesday of the month – April May drawing devotees exceeding seven lakhs. Poo Choridal on the last Sunday of Masi –February March and Vaikasi Panchaprakaram festival (May June_ are celebrated very devotionally when the crowd would be in many lakhs. 11 day Thaipoosam in January February is one of the great festivals celebrated. Also Tamil and English New Year days, Pongal and Deepavali are observed with special pujas. While usually the crowd is big in all days, it is particularly more on Tuesdays and Fridays.","Goddess Mariamman undertakes a hunger fast on the last Sunday of the Tamil month Masi February March for 28 days for the welfare of all beings in the world. During this period, no solid nivedhanas are offered to the Goddess. Only tender coconut, orange juice, a flour called Thullu Mavu and grape juice are offered as Nivedhana in liquid form. She is showered with flowers during these days. This is known as Poo Choridal (Poo flowers, choridal showering).",The temple is opened from 5.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Mariamman Temple, Samayapuram Trichy Dist.","+91 431  207 0460, 267 0460"
Perumal,sri Rajagopalaswami temple,Veda Narayana Perumal,Sri Rajagopalar,Sridevi and Bhoodevi,Jack tree,Brigu Theertham,NA,1000 2000 years old,Vedapuri,Mannarkoil,Tirunelveli,Tamil Nadu,The temple celebrates two main festivals for 10 days in Chithirai (April May) and Masi (February March).,The presiding deity is made of Sudha model containing all herbals. Saint Kulasekhara Azhwar attained salvation in this place.,The temple is open from 7.00 a.m. to 11.00 a.m. and from 5.00 p.m. to 7.30 p.m.,"Sri Rajagopalaswami Temple, Mannarkoil, Tirunelveli district.",+91  4634   252 874
sivan,sri Vanniappar temple,Vanniappar,NA,Sivakama Sundari,NA,NA,NA,1000 2000 years old,NA,AzhwArkurichi,Tirunelveli,Tamil Nadu,Maha Shivrathri in February March; Margazhi Tiruvadhirai in December January; Panguni Uthiram in March April and Tirukarthikai in November December are the festivals celebrated in the temple.,"Traditionally, Navagrahas the nine planets are in a separate shrine in Shiva temple. They are in the form of Yantras on the roof of the Mandap before Lord’s shrine.",The temple is open from 7.00 a.m. to 10.00 p.m. and from 5.00 p.m. to 7.30 p.m.,"Sri Vanniappar Temple, Alwarkurichi, Tirunelveli district.",+91  4634 283 058.
Amman,sri Irukkankudi Mari Amman temple,Mariamman,NA,NA,NA,"Arjuna, Vaiparu rivers",NA,500 years old,NA,Irukkankudi,Virudhunagar,Tamil Nadu,Aadi festival in July August is grandly celebrated in the temple.,"Traditionally, Mother Mariamman appears in a sitting posture with left leg folded and the right hanging. It is vice versa here.",The temple is open from 6.00 a.m. to 1.30 p.m. and from 4.00 p.m. to 8.00 p.m.,"Sri Irukkankudi Mari Amman temple, Irukkankudi, Sattur, Virudhunagar district.","+91 4562 259 614, 259 864, 94424 24084"
Amman,sri Sri Devi Karumariamman temple temple,Devi Karumariamman,NA,NA,Arasa Maram and Vembu (neem,NA,NA,500 years old,NA,"Ellis Nagar, Madurai",Madurai,Tamil Nadu,"The Aavani (August September) festival begins on the first Friday of the full moon fortnight and celebrated the next Friday. There will be pujas, public feeding, and other festivities. On Saturday, devotees offer Pongal (pudding) to the Goddess. Amman goes in procession throughout the night. Every house celebrates the festival. The noteworthy feature of the festival is that people of all religions participate equally. Special pujas to Lord Vinayaka on Sankatahara Chaturti days, Rahukala puja on Fridays – 10.30 a.m. to 12.00 p.m , Special pujas on last Fridays of the month, special pujas to Lord Muruga on Tuesdays, Dakshinamurthi puja on Thursdays are organized by individual devotees (Upayadararars). They contribute for Aavani festival too.",Mother Devi Karumariamman is a swayambumurthy.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Devi Karumariamman Temple, Ellis Nagar, Madurai – 625 016","+91 99409 46092, 97897 91349"
sivan,sri Then Tiruaalavai temple,Tiru Aalavayar,NA,Meenakashi,Arasa Maram (bodhi tree),Shiva Theertham,NA,1000 2000 years old,Aalavai,Madurai,Madurai,Tamil Nadu,"Madurai, known as city of temples is also known as city of festivals. Six day Skanda Sashti in October November (Aipasi) with special pujas and abishek to Lord Muruga and Annabishekam on the full moon day in the same month, Aadi Pooram in July August, Abishek with conches – Sangabishekam – on Karthikai Mondays (November December), Pujas with lamps – Vilakku on each full moon days, Aadi Fridays (July August) and Thai Fridays in January February are the important festivals celebrated in the temple very devotionally. Also, Pongal falling almost on January 14, Deepavali in October November, Vinayaka Chaturti on August September, Tamil and English New Year days are celebrated in the temple with special poojas, abishek etc. Crowd of devotes is usually large on all such festival days.","Lord Yama the God of Death worshipped Lord Shiva in this temple. Of the Panchabhudha places in Madurai, this temple represents Agni fire. Of the 64 divine events (Tiruvilayadal) described in the sacred epic Tiruvilayadal Puranam by Saint Paranjothi Munivar, this temple is about marking the boundaries of Madurai.",The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Then Tiru Aalavai Temple,South Machi street, Madurai – 625 001.",+91 452 2344360
Amman,sri Mumba Devi temple,Mumba Devi,NA,NA,NA,NA,NA,1000 2000 years old,Munga,Mumbai,Mumbai,Maharashtra,"Navarathri is the most important festival of the temple. On the first day, they light a lamp made of clay. They spread rice and Nava Dhanyas – nine varieties of corns  . They fill a bronze pot with water and put five betel leaves, arecanut, a copper sheet and a dry date. This is called God Sthapana, which in South we call Aavahana – personifying the deity in a form. This is something like the Gada Sthapana with some variation in our consecration ceremonies. The water is spilled on the earth very carefully. The corns generate within 36 hours. On the first night of the Navarathri, Maratha artists play a drum called Savadha with music. On the seventh day, they dig a square pit, arrange bricks in an aesthetic manner. They put the coconuts brought by the devotees, burn them in small fire fuelled with butter. The ash of the burning is made into a paste. Devotees apply it on their eye brows. On the Dasara day (10th day), the corns grown 6 inches tall are plucked off and offered to the deity. Selected men and women get this plant. Women wear it on the hair while men have them on their turbans.","Mumba Devi on the Vrushaba (bull vehicle) is the Guardian Deity of Bombay City. There are two lamp pillars before Her, one made of bricks and one of stone. The sanctum sanctorum is built with marbles. She is dressed as a Maratha woman.",The temple is open from 6.00 a.m. to 12.00 a.m. and 4.00 p.m. to 9.00 p.m.,"Arulmigu Mumba Devi Temple,Mumbai,Maharashtra",+91 22 2242 4974
Other Temples,sri Karuppanasami temple,Karuppannasami – Angalaparameswari,NA,NA,NA,NA,NA,500 years old,NA,Rangiam Urangapuli,Pudukkottai,Tamil Nadu,A festival with a pregnant goat (Sool Aadu) is celebrated in the temple each year.,The leaves of the Tamarind tree (Urangapuli) in the temple do not shrink during nights. Karuppanasami graces in a sitting form),The temple is open from 6.00 a.m. to 12.00 a.m. and 4.00 p.m. to 9.00 p.m.,"Sri Rangiam Karuppanasami Temple, Rangiam Urangapuli, Pudukkottai",NA
sivan,sri Bhoominathar temple,Bhoominathar,NA,Aranavalli,NA,Prithvi theertham,NA,500 1000 years old,NA,Sevalur,Pudukkottai,Tamil Nadu,"Shivarathri in February March, Panguni Uthiram in March April, Tirukarthikai in November December and Margazhi Tiruvadhirai in December January are the festivals celebrated in the temple.","The Prithvi theertham near Sevalur is presently a small tank which is considered very holy. This is the best theertha for performing Tarpan for ancestors. The Shivalinga has many stripes (Pattai) which was formed while Bhoomadevi Mother Earth worshipped Him with turmeric, Sandal, Kasthuri and butter pastes at the end of each Yuga.",The temple is open from 6.00 a.m. to 12.00 a.m. and 3.00 p.m. to 8.00 p.m.,"Sri Bhoominathar Temple, Sevalur, Pudukootai.","+91 4322 221084, 97869 65659"
sivan,sri Arangulanathar temple,Arangulanathar,NA,Brahadhambal,Porpanai (Golden palm tree),NA,NA,500 1000 years old,NA,Thiruvarangulam,Pudukkottai,Tamil Nadu,Vaikasi Visakam in May June and 10 day Aadi Pooram festival with a car festival on the 9th day in July August are celebrated in the temple.,Lord Shiva is a swayambumurthi in the temple.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.30 p.m.,"Sri Arangulanathar Temple, Tiruvarangulam, Pudukkottai district.","+91 97519 56198, 98430 55146, 94436 04207, 90478 19574"
Perumal,sri Veera Azhagar temple,Veera Azhagar (Sundararaja Perumal,Soundaravalli   Mahalakshmi,NA,NA,Alankara Theertham,Pancharathra,500 1000 years old,Vanara Veera Madurai,Manamadurai,Sivaganga,Tamil Nadu,"10 day Chithirai Tiruvizha in April May is grandly celebrated as in Madurai temple. The event called Edhir Sevai (welcoming festival) is celebrated on the 4th day and on the fifth day, Azhagar steps into the river. Brahmmotsavam is celebrated in Aadi month (July August) Vaikunda Ekadasi in December January, Rapathu and Pagal Pathu (festival during days and nights) are also important festivals celebrated in the temple.",The temple was built in the 13th century. The Vada mala – a garland made of Vada a popular dish of the South  does not go stale even after a month.,The temple is open from 7.00 .m. to 10.30 a.m. to 4.30 p.m. to 8.00 a.m,"Sri Veera Anjaneyar Temple, Manamadurai, Sivaganga district.",NA
Other Temples,sri Suriyanar temple,Siva Suriyan,NA,"Ushadevi, Chayadevi",Vellerukku,Suriya theertham,NA,1000 2000 years old,NA,Suriyanarkoil,Thanjavur,Tamil Nadu,10 day Ratha Sapthami in Thain month (January February) is a very important festival in the temple. This marks the ‘U’ turn of Lord Sun’s Rath Car from South to North beginning the six months called Utharayanam from Thai to Aani month – June July. Seasons are calculated by the movements of Sun God. On the first day of each Tamil month special pujas and abisheks are performed to Lord Suriya Sun who heads the Zodiac family. This is called Maha Abhishek drawing huge number of devotees. Also Saturn (Sani) and Jupiter (Guru) transition days are celebrated with special pujas.,Lord Sun graces in the temple facing west with a Lotus on both hands accompanied by His consorts Ushadevi on the left and Pradhyushadevi on the right. The Navagrahas (nine planets) are without their their vahans vehicles.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. 8.00 p.m.,"Sri Suriyanar Temple, Suriyanarkoil, Thanjavur.",+91  435  2472349
Other Temples,sri Ema Dharmaraja temple,Em Dharmaraja (God of Death),NA,NA,NA,Ema theertham,NA,1000 2000 years old,NA,Tiruchittrambalam,Thanjavur,Tamil Nadu,10 day Aadi Vizha in July August and Manmatha Vizha (cupid festival) in Masi (February March are the festivals celebrated in the temple.,God of Death Ema Dharmaraja is the presiding deity of the temple.,The temple is open from 6.00 a.m. to 6.00 p.m.,"Sri Ema Dharmaraja Temple, Tiruchittrambalam, Pattukootai Taluq, Thanjavur district – 614 628.",+91  98943 24430
Murugan,sri Subramaniaswami temple,"Subramaniaswami Though a Shiva temple, the importance is for Lord Muruga.",Subramaniaswami,Periyanaki,Vanni tree,Kumara theertham,NA,500 1000 years old,Sameevanam,Enkan,Tiruvarur,Tamil Nadu,"14 day Thai Poosam Brahmmotsavam in January February is grandly celebrated in the temple. A king, Simmavarman by name was cursed with a Lion’s face by Sage Brugu. For relief, the king prayed to Enkan Lord Muruga bathing in the Vruddha Cauveri River (Vottaru). On a Thain Poosam star day (January February) combined with Full Moon, Lord Muruga appeared before the king and restored his human face. This festival day is grandly celebrated in the temple carrying Kavadi on their shoulders. Other festivals are monthly Kruthika star days, 8 day Skanda Sashti in Aipasi (October November), Karthikai in November December, Masi Karthikai (February March), Deepavali, Pongal, Tamil and English New Year Days.","In the month of Panguni (March April), the rays of Sun fall on Lord Brahmmapureeswarar for three days. It is noteworthy that the idols of Lord Muruga in Sikkal, Ettukudi and Enkan temples were sculpted by the same artist showing the Lord on His peacock vehicle. The idols are made with rare sculptural skill that the whole weight of the idol rests on a single leg of the peacock. A rare craftsmanship.",The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.30 p.m.,"Sri Subramaniaswami Temple, Enkan, Tiruvarur district.","+91  4366 278 531, 278 014, 94884 15137"
Perumal,sri Kattazhagiasingar temple,Kattazhagiasingar,NA,NA,Vanni tree,NA,NA,500 1000 years old,NA,Srirangam,Thiruchirapalli,Tamil Nadu,"Narasimha Jayanti in Vaikasi (May June), Aani Swathi in June July, Aadi Jeshtabishekam in July August, Panguni Yugadhi in March April are the four festivals celebrated in the temple when Thailakappu  an oil mixture for abishek and other preparations are sent to the temple from Srirangam for Nivedhana to Lord.","While Perumal faces East in all temples, here He is facing West.",The temple is open from 6.15 a.m. to 12.00 a.m. and 5.00 p.m. to 8.30 p.m.,"Sri Kattazhagiasinar Temple, Srirangam, Tiruchi district 620 006.",+91  431  243 2246
sivan,sri Gotha Parameswarar temple,Gotha Parameswarar (Kailasanathar),NA,Sivakami Amman,NA,NA,NA,500 years old,NA,Kunnathur,Tirunelveli,Tamil Nadu,"Mahasivarathri in February March, Tiruvadhirai in December January, Tirukarthikai in November December and Pradosham days – 13th day either from new moon or full moon days are the festivals celebrated in the temple.",There is Nagar (snake) symbol on the Shivalinga in the temple.,The temple is open from 6.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Gotha Parameswarar Temple, Kunnathur, Tirunelveli.",NA
Perumal,sri Venkatachalapathi temple,Tiruvengadam Udayan,Srinivasan,Alamelu,Gooseberry,Srinivasa theertham,Vaikanasa,500 1000 years old,Tirunangoil,Mela Thiruvengadanatha Puram,Tirunelveli,Tamil Nadu,"Brahammotsavam in Chithirai (April May), Saturdays in Purattasi (September October), Pari Vettai, Vaikunta Ekadasi in December January, Thai Oonjal in January February and Panguni Garuda festival in March April are the festivals celebrated in the temple.","As the structure of the temple resembles Tirupati, this is called Then (south) Tirupati. Lord Srinivasa is on a hill of white stones. As Akasha Ganga falls in Tirupati, it is River Tambiraparani falls here. Garuda the eagle vehicle of Lord Vishnu has the discus and conch in His hands.",The temple is open from 6.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Venkatachalapathi (Then Tirupati) Temple, Mela Tiruvengadanatha Puram, Tirunelveli district.","+91  462   2341292, 2340075 97918 66946"
sivan,sri Sadasivamurthy temple,Sadasivamurthy,Sadasivam,Sivakami,Tamarind tree,Jadamagudam,NA,500 1000 years old,NA,Puliarai,Tirunelveli,Tamil Nadu,"10 day main festival in Thai (January February), Jupiter and Saturn transit days, Maha Shivrathri in February March), Navarathri in September October and Aadi Pooram in July August are the festivals celebrated in the temple.","Lord Shiva in the temple is a swayambumurthy. While Lord Dakshinamurthy has His place in the southern corridor in Shiva temples, He is in between the presiding deity and the Nandhi at the entrance of the temple.",The temple is open from 6.00 a.m. to 12.00 p.m. and 5.00 p.m. to 8.00 p.m.,"Sri Sadasivamurthy Temple, Puliarai, Tirunelveli district.","+91  4633   285518, 285490"
Perumal,sri Panduranga Vittaleswarar temple,Panduranga Vittaleswarar,NA,"Bhama, Rukmini",NA,NA,NA,500 years old,NA,Vittalapuram,Tirunelveli,Tamil Nadu,Vaikaunda Ekadasi in December January.,Lord Perumal is a swayambumurthy in the temple.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. and 8.00 p.m.,"Sri Panduranga Vittaleswarar Temple, Vittalapuram, Tirunelveli district.",+91 4630 263 538
Perumal,sri Singavaram Perumal temple,Ranganathar,Ranganathar,Ranganayaki Thayar,NA,NA,NA,500 1000 years old,NA,Singavaram,Viluppuram,Tamil Nadu,Perumal moves to Puducherry to grace the devotees on Masi Magam day (February March). Special pujas are performed on Vaikunda Ekadasi day in December January.,"The idol is 14 feet long in a reclining form. It is believed that devotees of Perumal are not afraid of Yama, the Lord of death. We can also worship Prahladha, in the temple.",The temple is open from 8.00 a.m. to 10.00 a.m. and 4.00 p.m. to 6.00 p.m.,"Sri Singavaram Perumal Temple, Singavaram, Villupuram district.",+91  94432 85923.
Other Temples,sri Nagarajar temple,Nagarajar,NA,Heddai Amman,Banyan tree,Santhanakulam,NA,500 years old,NA,Nilgiris,Nilgiris,Tamil Nadu,"The fire pit (generally clled flower pit) festival is celebrated in the temple on May 1 and 2 each year. During the fasting days, the devotee should wear a garland and use yellow or red clothes only. Women should have at least a red or yellow towel around their necks. If the devotee walks on the fire pit keeping the stomach purely empty, he/she would derive the best benefit they aspire. The crowd on the day would exceed fifty thousand. Also the crowd would be huge on new moon days.","It is believed that Sri Rama returned to Ayodhya through Manihada Manjakombai, hence the place is considered very sacred.",The temple is open from 6.00 a.m. to 11.00 p.m. and 5.00 p.m. to 8.00 p.m.,"Sri Heddai Amman   Nagarajar Temple, Manihada Manjakombai, The Nilgiris.","+91 423 228 6258, 94869 04422"
sivan,sri Kasi Viswanathar temple,Kasi Viswanathar,NA,Visalaskhi,NA,NA,NA,500 years old,Tirukandhal,Nilgiris,Nilgiris,Tamil Nadu,"Three day Maha Shivrathri is the main festival of the temple drawing a crowd of over 50,000. The crowd would be more on New Year day, other Shiva related days and Pradosha days (13th day either from new moon or full moon days.)",The Linga installed in the sanctum sanctorum is a Banalinga.,The temple is open from 6.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Kasi Viswanathar Temple, Udhagamandalam, Nilgiris.",+91 423 244 6717
Amman,sri Sandhaikadai Mariamman temple,"Maha Mariamman, Maha Kaliamman",NA,NA,NA,Amirtha Pushkarani,NA,500 years old,NA,Udhagamandalam,Nilgiris,Tamil Nadu,"The 28 day car festival during the whole of February month is the longest and biggest festival of the temple. Mother Aadhi Parasakti comes in procession in different forms as Durga, Kamakshi, Parvathi, Meenkshi, Rajarajeswari, Heddhai Amman and Bhagavathi. Crowd would be in lakhs. During the car procession, devotees throw salt on the deity in the hope that all their hardships would go off as salt disappears in water. The temple would be full of devotees on new moon days, Fridays in the month of Aadi (July August), Navarathri days in Purattasi (September October) and other days of religious importance.",There are two Ambicas in the sanctum sanctorum – Mari and Kali. Navagrahas the nine planets grace in the temple with their consorts.,The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 7.00 p.m.,"Sri Sandhaikadai Mariamman Temple, Udhagamandalam, Nilgiris.",+91 423 244 2754
Murugan,sri Sri Velayuthar Temple temple,Velayuthar,Muthukumarar,NA,NA,"Sayiloka theertham, Gnana theertham,Saraswathi theertham, Lakshmi theertham,Brahmma theertham, Kanar Sunai and,Valli theertham.",NA,500 years old,NA,Senjeri,Coimbatore,Tamil Nadu,"11 day Brahammotsavam in Thai (January February), Vaikasi Visakam in May June, Tirukarthikai in November December, Skanda Shashti in October November, Shivarathri and Masi Magam in February March and Panguni Uthiram in March April are the festivals celebrated in the temple.","The speciality in the temple is that Lord Vishnu graces with a Shivalinga in in His right hand. The Navagraha shrine has Sun God facing west with other planets facing Him. Lord Velayuthar graces with His 12 hands, holding a flag with Cock symbol and also a Cock in his left hand.",The temple is open from 7.00 a.m. to 12.30 p.m. and 4.30 p.m. to 7.30 p.m.,"Sri Velayuthar Temple, Senjeri, Coimbatore district.","+91  4255  266 515, 268 515,268 415"
sivan,sri Mahalingeswarar temple,Mahalingeswarar,NA,"Maragathavalli, Manickavalli",NA,NA,NA,1000 2000 years old,NA,Viralipatti “Odukkam Thavasi Medai’,Dindigul,Tamil Nadu,Masi Magam in February March is very grandly celebrated in the temple.,"Following Shivarathri, the rays of Sun fall on the presiding deity continuously for 30 days in the mornings and on Sri Bhairava in the evenings. While we see only one Ambica in Shiva shrines, there are two in this temple.",The temple is open from 6.00 a.m to 6.00 p.m.,"Sri Mahalingeswarar Temple, Viralipatti, ‘Odukkam Thavasi Medai’, Via Natham 624 304, Dindigul district.",+91 93624 05382.
sivan,sri Arudra Kabaleeswarar temple,"Arudra Kabaleeswarar, Thondeeswarar, Chedeeswarar, Chozheeswarar",NA,Varani Ambal,Vanni tree,NA,NA,500 1000 years old,Thiru Thondeeswaram,Erode,Erode,Tamil Nadu,Mahasivarathri in February March and Margazhi Tiruvadhirai in December January are important festivals celebrated in the temple,"108 Shivalingas are carved on the single Shivalinga in the Arudra Kabaleeswarar temple. On 25, 26 and 27th days of Masi month – February March – the rays of Sun fall on the presiding deity Lord Shiva. This is the first temple in Tamil",The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m,"Sri Arudra Kapaleeswarar Temple, Ezhumathur, Erode district.",+91 424 2267578
Amman,sri Sri Bannari Mariamman Temple temple,Mariamman,NA,NA,Vengai,Teppam Kinaru – a well,NA,500 years old,Mannari,Bannari,Erode,Tamil Nadu,"The biggest is the 20 day Panguni Kundam festival of walking on the fire pit drawing a crowd of over five lakhs. The temple is crowded on special days as new moon days, Tuesdays and Fridays. Deepavali in October November, Pongal falling almost on January 14, Tamil and English New Year days are also celebrated in the temple.","The temple is facing west. Instead of sacred ashes Vibhuti, sand of the ant hill is offered as Prasad. The deity is a swayambumurthi.",The temple is open from 6.00 a.m. to 12.00 a.m. and 4.00 p.m. to 9.00 p.m.,"Sri Bannari Mariamman Temple, Sathyamangalam, Bannari, Erode district.","+91 4295 243366, 243442, 243 289"
Murugan,sri Sri Subramaniaswami temple temple,Subramaniaswami – Dhandayuthapani,NA,"Amirthavalli, Sundaravalli",Tamarind tree,Mamangam,NA,500 1000 years old,"Pushpagiri, Karai Giri, Maguda Giri",Chennimalai,Erode,Tamil Nadu,"15 day Thaipoosam festival (January February) draws a crowd in lakhs while the 7 day Panguni Uthiram in March April and 6 day Skanda Sashti in October November draw crowds in thousands. Monthly Kruthika days and days related to Muruga worship, Tamil and English New Year days, Deepavali are days of festivals in the temple.","This is the sacred place where Sri Skanda Sashti Kavacham was staged. A bullock cart created the marvel of ascending this hill temple. Water for Tirumanjanam is taken to the temple on bullocks from the foot of the hills. Even when monsoon fails and water sources dry up due to scorching summer, water flows in plenty from a spring on the southern side of the temple with Lord Vinayaka gracing the place. Such a marvel takes place once in 12 years. The spring water is praised as Mamanga theertham.",The temple is open from 6.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Subramaniaswami Temple, Chennimalai, Erode district.","+91 4294   250223,292263, 292595"
Perumal,sri Sri Vedanarayana Perumal Temple temple,Vedanarayana Perumal,NA,NA,NA,Brahmma theertham,NA,500 years old,Jotishkudi,Kodikulam,Madurai,Tamil Nadu,Vaikunda Ekadasi in December January and Aipasi Thiruvonam star day being the birth day of Pillai Lokachacharya in October November.,Lord Vedanarayana graces from a small shrine alone. Mothers are not with him. Creator Lord Brahmma appears with one head (Brahamma has four heads) as He performed penance here. The feet of Perumal are placed in the cave where once the feet of Srirangam Perumal adored.,"The temple is open from 10.00 a.m. to 10.30 a.m. only. For darshan during other hours, the devotee has to get in touch with the telephone numbers shown below.","Sri Vedanarayana Perumal Temple, Kodikulam, Madurai.","+91  452   2423 444, 98420 24866"
Murugan,sri Baladandayuthapani temple,"Baladandathuthapani, Jalakandeswarar",NA,Jalagandeeswari,Shenbaga tree,Neelanarayana theertham,NA,500 years old,Maankundram,Elk Hills,Nilgiris,Tamil Nadu,"5 day Thaipoosam festival in January February, Panguni Uthiram in March April, Skanda Sashti in October November, Vaikasi Visakam in May June and days related to Muruga worship are the festivals celebrated in the temple besides Deepavali, Pongal and new year days, drawing huge crowds.",A rock touching the sanctum sanctorum of the Badugar temple looks as Perumal in a reclining position.,The temple is open from 6.00 a.m. to 11.00 a.m. and 5.00 p.m. to 8.00 p.m.,"Sri Baladandapani Swami Temple, Elk Hills, Nilgiris.",NA
Murugan,sri Shanmughanathar temple,Shanmughanathar,NA,"Valli, Deivanai",Arasamaram – Bodhi tree,Thenaru,NA,1000 2000 years old,Arasavanam,Kundrakudi,Sivaganga,Tamil Nadu,"10 day Panguni Uthiram in March April and 10 day Thaipoosam in January February, are the two great festivals in the temple. Paal (milk) Perukku vizha in Chithirai (April May), Vaikasi Visakam in May June, Aani Mahabishekam in June July, Aadi Tirupadi Puja in July August, Aavani Moolam Pittu Thiruvizha in August September, Skanda Sashti and Arrow festival in October November are the festivals celebrated in the temple very grandly.",Sri Thenattru Nather graces as swayambumurthy.,The temple is open from 6.00 a.m. to 11.00 and 4.00 p.m. to 8.00 p.m.,"Sri Shanmughanathar Temple, Sri Tiruvannamalai Adheenam, Kundrakudi, Sivaganga district.","+91   4577   264227, 97905 83820"
